prior_variant,note,model,family,dic,p_dic,waic,p_waic,marginal_loglik,cpo_failure_rate,diagnostics_ok,ppc_total_pass,ppc_zero_pass,ppc_max_pass,moran_p,pearson_disp,pearson_disp_camera,ppc_pit_ks,nb_size_mean,spatial_range_mean_m,spatial_sd_mean,max_abs_month_log_rate_ratio,mean_month_coef_sd,mesh_vertices,intercept_prior_mean,intercept_prior_sd,month_prior_sd,nb_logsize_prior_mean,nb_logsize_prior_sd,spatial_range_fixed_m,spatial_range_prior_range0,spatial_range_prior_prob_below,spatial_sd_prior_sigma0,spatial_sd_prior_prob_above,delta_waic,delta_dic
final_current,"final selected priors: estimated range PC prior P(range < 1000 m) = 0.5, broad spatial SD, month SD 1, NB log-size SD 2",nb_spatial_month,nbinomial,272.602680034027,20.361943253371493,270.0083202222048,16.060727372708108,-143.43741606554738,0,TRUE,TRUE,TRUE,TRUE,0.674,0.5498408530183354,0.5671777902903222,0.21822600535811898,1.5110216899521385,614.996646316485,0.8223954669178961,1.1855231744239003,0.5250788136264235,2493,-4.5659320813792315,2.5,1,0.6931471805599453,2,NA,1000,0.5,1.5,0.05,0.6162602756775755,0.6775079876091468
fixed_range_500,shorter fixed spatial range,nb_spatial_month,nbinomial,271.92517204641786,20.01577988274201,270.16061023757555,16.475347888046052,-141.8439566635922,0,TRUE,TRUE,TRUE,TRUE,0.672,0.5500215062135345,0.5638029880894736,0.8821415402306886,1.5423037310218513,NA,0.8238402656844426,1.1861635596784168,0.5234886000527205,2493,-4.5659320813792315,2.5,1,0.6931471805599453,2,500,500,0.5,1.5,0.05,0.7685502910483137,0
fixed_range_1000,old stabilising choice: fixed 1000 m spatial range,nb_spatial_month,nbinomial,273.5135608003377,18.04880267832999,272.18416597536526,15.262404061154838,-142.37034345783573,0,TRUE,TRUE,TRUE,TRUE,0.712,0.5840666089558577,0.6372344458991043,0.21468903878841678,1.2336381362364863,NA,0.8608838785040407,1.1947379320039984,0.5255365728551877,2493,-4.5659320813792315,2.5,1,0.6931471805599453,2,1000,1000,0.5,1.5,0.05,2.7921060288380204,1.588388753919844
fixed_range_1500,longer fixed spatial range,nb_spatial_month,nbinomial,275.3200906587445,15.35714690535383,274.5292561711448,13.510833516817883,-142.83807286376313,0,TRUE,TRUE,TRUE,TRUE,0.494,0.6463534247270245,0.7451565747391652,0.6065497519632455,0.8657562838908489,NA,0.8593675812226551,1.1958303303962818,0.5269708182898949,2493,-4.5659320813792315,2.5,1,0.6931471805599453,2,1500,1500,0.5,1.5,0.05,5.137196224617583,3.3949186123266486
fixed_range_2500,much longer fixed spatial range,nb_spatial_month,nbinomial,277.1461074723094,11.31084414918405,277.14178306412117,10.593795278199453,-143.22896734124166,0,TRUE,TRUE,TRUE,TRUE,0.294,0.7674844870003489,0.9395507328918515,0.28523823563064443,0.5705672884728114,NA,0.653748614369023,1.1902823465369239,0.5299076256602335,2493,-4.5659320813792315,2.5,1,0.6931471805599453,2,2500,2500,0.5,1.5,0.05,7.7497231175939305,5.2209354258915255
estimated_range_pc1500,estimated spatial range with PC prior P(range < 1500 m) = 0.5,nb_spatial_month,nbinomial,272.8986651337191,20.06847049901711,270.3412537085834,15.852138765921014,-143.70285856766898,0,TRUE,TRUE,TRUE,TRUE,0.716,0.5544928773484177,0.578939270897596,0.7749331228503245,1.47490253011534,736.5655330113874,0.8304357043173887,1.1880977608862962,0.5256178151187674,2493,-4.5659320813792315,2.5,1,0.6931471805599453,2,NA,1500,0.5,1.5,0.05,0.9491937620561544,0.9734930873012217
spatial_sd_tighter,"tighter spatial SD prior, P(SD > 0.85) = 0.05",nb_spatial_month,nbinomial,273.4584158892621,17.873452257673364,271.59248558252074,14.696679546546001,-143.9856504234988,0,TRUE,TRUE,TRUE,TRUE,0.472,0.609310562906874,0.6558182487462402,0.5837010178193361,1.3354569876864195,613.1433322745719,0.721749208395147,1.178239245280377,0.5256307672219257,2493,-4.5659320813792315,2.5,1,0.6931471805599453,2,NA,1000,0.5,0.85,0.05,2.200425635993497,1.5332438428442288
spatial_sd_wider,"wider spatial SD prior, P(SD > 2.5) = 0.05",nb_spatial_month,nbinomial,272.41671408880643,21.592071488493985,269.39205994652724,16.678119723710505,-143.26878038910198,0,TRUE,TRUE,TRUE,TRUE,0.78,0.5246685160400978,0.5326453084967574,0.8973836542814593,1.5850904044033065,625.7679596074142,0.8815315935495283,1.1886966066451439,0.525231243397506,2493,-4.5659320813792315,2.5,1,0.6931471805599453,2,NA,1000,0.5,2.5,0.05,0,0.49154204238857346
month_sd_0_5,"more regularising month-effect prior, SD 0.5 on log-rate ratios",nb_spatial_month,nbinomial,272.6489410230324,18.66676211242094,270.0490746915189,14.668281188053339,-142.33879237100388,0,TRUE,TRUE,TRUE,TRUE,0.682,0.5688741806050143,0.5711451271996787,0.8460709483698455,1.351561164654356,609.598642089546,0.8154289763570675,0.44500050219049186,0.3718716055344137,2493,-4.5659320813792315,2.5,0.5,0.6931471805599453,2,NA,1000,0.5,1.5,0.05,0.6570147449916703,0.723768976614565
month_sd_2,"weaker month-effect prior, SD 2 on log-rate ratios",nb_spatial_month,nbinomial,272.08595209482553,21.28899148141329,269.7328794820352,17.013792285476445,-145.25618755652442,0,TRUE,TRUE,TRUE,TRUE,0.692,0.5482864634585723,0.5724256379005901,0.8440664606266822,1.697914020955357,623.4342048000888,0.8283370843333748,2.454813516352443,0.6601621150959666,2493,-4.5659320813792315,2.5,2,0.6931471805599453,2,NA,1000,0.5,1.5,0.05,0.34081953550793287,0.16078004840767335
nb_size_median_1,NB log-size prior centered at size 1,nb_spatial_month,nbinomial,272.8921429084097,19.942432250613706,270.1520447569243,15.58150634092984,-143.3731954082439,0,TRUE,TRUE,TRUE,TRUE,0.658,0.5466630296967044,0.5688433541062334,0.12596053643643773,1.2704432955522946,618.4825490948011,0.8149283906237597,1.178067639494149,0.5276095966655798,2493,-4.5659320813792315,2.5,1,0,2,NA,1000,0.5,1.5,0.05,0.759984810397043,0.9669708619918538
nb_size_median_3,NB log-size prior centered at size 3,nb_spatial_month,nbinomial,272.46165896367665,20.623009656950103,269.9716620933137,16.37371064970579,-143.51198423481355,0,TRUE,TRUE,TRUE,TRUE,0.738,0.5529698046397385,0.5672726040630814,0.2990960232844314,1.717941399663436,612.9339739459177,0.8281756385460692,1.1903937127944795,0.5234213845551751,2493,-4.5659320813792315,2.5,1,1.0986122886681098,2,NA,1000,0.5,1.5,0.05,0.5796021467864421,0.5364869172587987
